rev_util,age,debt_ratio,monthly_inc,open_credit,late,inc_per_dep,relationship_status,dlq_2yrs
0.063893611,30.0,0.329896907,2133.0,5.0,none,2133.0,single,0
0.036518528,63.0,0.2510699,11916.0,8.0,none,11916.0,single,0
0.026583936,38.0,0.437380218,12000.0,14.0,none,12000.0,single,0
0.013491174,70.0,0.064945878,1200.0,9.0,none,1200.0,single,0
0.348248214,63.0,0.459357723,8500.0,12.0,low,8500.0,single,0
0.825766969,58.0,0.294262421,6500.0,9.0,none,6500.0,single,0
0.325412935,64.0,0.408435341,8250.0,11.0,none,8250.0,single,0
1.021778584,28.0,0.013322231,1200.0,1.0,severe,1200.0,single,0
0.006578601,75.0,0.001138952,3511.0,7.0,none,3511.0,single,0
0.040699594,71.0,0.094226443,4000.0,6.0,none,4000.0,single,0
0.814123917,45.0,0.206860886,5800.0,6.0,low,1450.0,2_kids,0
0.381407747,55.0,0.514979196,14419.0,24.0,none,14419.0,single,0
0.0,61.0,0.124019697,5482.0,5.0,none,1370.5,2_kids,0
0.125879394,61.0,0.230884558,2000.0,29.0,low,2000.0,single,0
0.859268845,50.0,1.292855655,4800.0,16.0,none,2400.0,couple,0
0.855325787,61.0,0.269613948,6423.0,7.0,none,1605.75,2_kids,0
0.9999999,78.0,0.0,2972.0,0.0,none,2972.0,single,0
0.790895535,33.0,0.144106622,2400.0,6.0,none,2400.0,single,0
0.090193868,55.0,0.281441196,16180.0,10.0,none,16180.0,single,0
0.342397703,73.0,0.296387365,5286.0,6.0,none,5286.0,single,0
0.002879539,55.0,0.116702477,8842.0,12.0,low,4421.0,couple,0
0.011210208,67.0,0.153012248,12083.0,18.0,low,6041.5,couple,0
0.448297754,34.0,0.152410575,4500.0,7.0,none,1125.0,2_kids,0
0.358502117,41.0,0.52408289,7141.0,13.0,none,7141.0,single,0
0.108730917,42.0,0.816439621,4330.0,14.0,none,1443.3333333333333,family,0
0.008618025,75.0,0.244929054,10500.0,8.0,none,10500.0,single,0
0.021141137,42.0,0.136172765,3333.0,5.0,none,3333.0,single,0
0.17938645,73.0,0.139632377,3100.0,7.0,none,3100.0,single,0
0.001679539,60.0,0.176676458,16000.0,14.0,none,16000.0,single,0
0.292632798,64.0,0.399600114,3500.0,7.0,none,3500.0,unknown,0
0.353332863,39.0,0.466349422,4412.0,9.0,none,1470.6666666666667,family,0
0.068841385,55.0,0.688253434,10700.0,19.0,severe,10700.0,single,0
0.784573848,58.0,0.209771741,5300.0,5.0,low,5300.0,single,0
0.506044596,78.0,0.879242587,2798.0,9.0,none,2798.0,single,0
0.274827816,36.0,0.803154854,4500.0,12.0,low,4500.0,single,0
0.039849125,41.0,0.302261008,10083.0,10.0,none,3361.0,family,0
0.413696406,52.0,0.390211388,5250.0,8.0,none,5250.0,single,0
0.654756959,28.0,0.078314687,4200.0,10.0,none,4200.0,single,0
